Stadtbezirk;2017Deutsch;2017Ausländer;2016Deutsch;2016Ausländer;2013Deutsch;2013Ausländer;2017Wahlberechtigte;2017Wähler/-innen;2017UngültigeErststimmen;2017GültigeErststimmen;2017AfDErststimmen;2017UngültigeZweitstimmen;2017GültigeZweitstimmen;2017AfDZweitstimmen;2013Wahlberechtigte;2013Wähler/-innen;2013UngültigeErststimmen;2013GültigeErststimmen;2013AfDErststimmen;2013UngültigeZweitstimmen;2013GültigeZweitstimmen;2013AfDZweitstimmen;;2017Einpersonenhaushalte;2017PaareohneKind(er);2017PaaremitKind(ern);2017Alleinerziehende ;2017SonstigeMehrpersonenhaushalte;2017Gemeinschaftsunterkünfte;2016Einpersonenhaushalte;2016PaareohneKind(er);2016PaaremitKind(ern);2016Alleinerziehende;2016SonstigeMehrpersonenhaushalte;2016Gemeinschaftsunterkünfte;2013Einpersonenhaushalte;2013PaareohneKind(er);2013PaaremitKind(ern);2013Alleinerziehende;2013SonstigeMehrpersonenhaushalte;2013Gemeinschaftsunterkünfte
Innenstadt-West;43702;9621;43828;9563;;;22014;11796;372;11424;1175;208;11588;1148;;;;;;;;;;20400;15000;11400;2900;2800;700;20300;15100;11500;3000;3000;600;;;;;;
Innenstadt-Nord;29035;30444;29569;30080;;;41632;32291;256;32035;2227;204;32087;2318;;;;;;;;;;18100;11700;20500;4800;3800;500;18100;11800;20300;4900;3800;700;;;;;;
Innenstadt-Ost;48147;8207;47785;7615;;;38056;28707;232;28475;2016;185;28522;2114;;;;;;;;;;19400;17100;13000;2800;3000;1100;19300;16900;12500;2700;3100;900;;;;;;
Eving;29224;9103;29378;8833;;;23742;15858;309;15549;2172;197;15661;2169;;;;;;;;;;8300;13000;12000;2400;2200;500;8300;13000;11800;2500;2200;400;;;;;;
Scharnhorst;38301;7574;38586;7183;;;31072;20677;305;20372;2995;281;20396;3053;;;;;;;;;;7500;16300;15100;3800;2700;500;7500;16400;14900;3700;2700;600;;;;;;
Brackel;50266;5828;50460;5735;;;42599;31348;380;30968;3398;301;31047;3469;;;;;;;;;;12300;21200;15900;3200;3300;300;12200;21300;15600;3300;3300;500;;;;;;
Aplerbeck;51188;4117;51379;3942;;;43266;33486;265;33221;2766;200;33286;2945;;;;;;;;;;11000;21400;15700;3200;3200;800;10900;21600;15700;3200;3100;800;;;;;;
Hörde;47967;7551;48018;7492;;;40607;30669;314;30355;2568;231;30438;2726;;;;;;;;;;14000;19300;15200;3200;3200;600;14000;19300;15000;3300;3300;700;;;;;;
Hombruch;51367;5687;51421;5744;;;43870;35169;269;34900;2494;201;34968;2682;;;;;;;;;;14500;20800;15000;2600;2800;1300;14600;21000;15200;2600;2900;900;;;;;;
Lütgendortmund;42435;6267;42695;5950;;;35852;25013;304;24709;2993;214;24799;3098;;;;;;;;;;11200;17200;13200;3200;3000;900;11000;17300;13200;3300;2900;900;;;;;;
Huckarde;30867;5651;30983;5504;;;25193;16939;231;16708;2299;156;16783;2339;;;;;;;;;;7100;12700;11300;2800;2200;400;7200;12700;11300;2700;2200;300;;;;;;
Mengede;32630;6601;32933;6474;;;26713;17978;279;17699;2615;214;17764;2646;;;;;;;;;;7400;13700;12500;2900;2200;500;7400;13800;12500;2900;2200;700;;;;;;