Bezirk,Einwohner,Einwohner 0-18,Einwohner 18-65,Einwohner 65+
Babelsberg Nord,11016,2294,7188,1534
Babelsberg Süd,11377,1672,7770,1935
Berliner Vorstadt,2415,406,1464,545
Bornim,2747,483,1816,448
Bornstedt,9169,1972,5767,1430
Brandenburger Vorstadt,11457,1817,7077,2563
Drewitz,7221,1273,4794,1154
Eiche,4538,799,3090,649
Fahrland,3719,649,2601,469
Golm,2627,421,1884,322
Groß Glienicke,4116,867,2487,762
Grube,423,90,268,65
Innenstadt,19573,2458,12472,4643
Jägervorstadt,2391,443,1625,323
Kirchsteigfeld,5069,934,3392,743
Klein Glienicke,550,139,355,56
Marquardt,1150,188,794,168
Nauener Vorstadt,4292,849,2663,780
Nedlitz,178,33,103,42
Neu Fahrland,1467,260,934,273
Potsdam West,7122,1064,4245,1813
Sacrow,153,18,104,31
Satzkorn,443,53,329,61
Schlaatz,8999,1254,6718,1027
Stern,16165,2058,9986,4121
Teltower Vorstadt,3859,429,2459,971
Templiner Vorstadt,1257,166,759,332
Uetz/Paaren,425,77,293,55
Waldstadt 1,5490,443,2824,2223
Waldstadt 2,9580,1314,6490,1776